OrderId,UserId,OrderValue,PaymentType,District,OrderSource,OrderType,DeliveryCharge,OrderPlacedDay,OrderConfirmDayOverPhone,IsCartOrder,OrderFromPromotionalEvent,isRTO
2545757,957043,340,MPD                 ,Gazipur,mobile-site,express,75,6/17/2019 12:30,6/17/2019 8:23,No,Yes,No
2545756,158478,99,MPD                 ,Dhaka,android,normal,25,6/17/2019 12:30,6/17/2019 6:29,No,Yes,No
2545754,864144,139,MPD                 ,Dhaka,android,normal,25,6/17/2019 12:28,6/17/2019 6:28,No,No,Yes
2545753,949053,280,MPD                 ,Dhaka,android,normal,25,6/17/2019 12:28,6/17/2019 7:05,No,No,No
2545750,366215,750,MPD                 ,Comilla,android,express,75,6/17/2019 12:27,6/17/2019 7:02,No,No,No
2545739,956094,199,MPD                 ,Dhaka,android,normal,0,6/17/2019 12:24,6/17/2019 8:18,Yes,No,No
2545737,957040,350,MPD                 ,Dhaka,mobile-site,normal,35,6/17/2019 12:24,6/17/2019 9:32,No,No,No
2545736,634558,258,MPD                 ,Feni,android,express,75,6/17/2019 12:24,6/17/2019 9:24,No,Yes,No
2545732,956752,350,MPD                 ,Rajshahi City,android,normal,0,6/17/2019 12:23,6/17/2019 6:34,Yes,No,No
2545731,956752,160,MPD                 ,Rajshahi City,android,normal,0,6/17/2019 12:23,6/17/2019 6:34,Yes,Yes,No
2545730,956752,100,MPD                 ,Rajshahi City,android,normal,55,6/17/2019 12:23,6/17/2019 6:34,Yes,Yes,No
2545728,142525,600,MPD                 ,Dhaka,android,express,35,6/17/2019 12:20,6/17/2019 6:19,No,Yes,Yes
2545726,920157,199,MPD                 ,Chittagong City,mobile-site,express,0,6/17/2019 12:19,6/17/2019 6:28,Yes,Yes,No
2545725,920157,110,MPD                 ,Chittagong City,mobile-site,express,75,6/17/2019 12:19,6/17/2019 6:28,Yes,Yes,No
2545724,955862,119,MPD                 ,Dhaka,android,normal,25,6/17/2019 12:19,6/17/2019 13:32,Yes,No,No
2545723,64487,310,MPD                 ,Dhaka,android,normal,25,6/17/2019 12:19,6/17/2019 6:23,No,No,No
2545722,576374,268,MPD                 ,Dhaka,android,normal,25,6/17/2019 12:18,6/17/2019 6:18,No,Yes,No
2545721,947545,99,MPD                 ,Gazipur,android,normal,0,6/17/2019 12:18,6/17/2019 6:37,Yes,Yes,No
2545720,947545,99,MPD                 ,Gazipur,android,normal,55,6/17/2019 12:18,6/17/2019 6:37,Yes,No,No
2545719,712732,600,MPD                 ,Tangail,android,normal,55,6/17/2019 12:17,6/17/2019 6:17,Yes,Yes,No
2545718,634558,175,MPD                 ,Feni,android,express,0,6/17/2019 12:17,6/17/2019 9:24,No,Yes,No
2545716,891184,365,MPD                 ,Thakurgaon,android,normal,55,6/17/2019 12:16,6/18/2019 4:35,No,No,No
2545715,933366,318,MPD                 ,Jessore,android,normal,55,6/17/2019 12:16,6/17/2019 6:15,No,Yes,No
2545714,737098,173,MPD                 ,Dhaka,android,normal,25,6/17/2019 12:16,6/17/2019 6:15,No,Yes,No
2545712,923486,310,MPD                 ,Noakhali,android,normal,55,6/17/2019 12:15,6/17/2019 8:39,No,No,No
2545711,956094,199,MPD                 ,Dhaka,android,normal,25,6/17/2019 12:14,6/17/2019 8:18,Yes,Yes,No
2545710,951122,599,MPD                 ,Dhaka,android,normal,25,6/17/2019 12:14,6/17/2019 6:13,No,Yes,No
2545707,951122,470,MPD                 ,Dhaka,android,normal,25,6/17/2019 12:12,6/17/2019 6:12,No,Yes,No
2545706,712732,163,MPD                 ,Tangail,android,normal,55,6/17/2019 12:12,6/18/2019 5:23,No,Yes,No
2545697,927972,187,MPS                 ,Chuadanga,android,express,35,6/17/2019 12:04,6/17/2019 6:24,No,Yes,No
2545695,954034,296,MPD                 ,Dhaka,android,normal,25,6/17/2019 12:02,6/17/2019 7:05,No,No,No
2545694,64487,0,MPD                 ,Dhaka,android,normal,0,6/17/2019 12:02,6/17/2019 6:23,Yes,Yes,No
2545693,64487,205,MPD                 ,Dhaka,android,normal,25,6/17/2019 12:02,6/17/2019 6:23,Yes,Yes,No
2545692,957031,373,MPD                 ,Habiganj,mobile-site,express,75,6/17/2019 12:01,6/17/2019 9:04,No,No,No
2545688,942612,235,MPD                 ,Dhaka,android,normal,25,6/17/2019 12:00,6/17/2019 6:20,Yes,Yes,Yes
2545684,466278,160,MPD                 ,Sherpur,android,normal,0,6/17/2019 12:00,6/17/2019 5:59,Yes,Yes,No
2545683,466278,399,MPD                 ,Sherpur,android,normal,55,6/17/2019 12:00,6/17/2019 5:59,Yes,Yes,No
2545655,907549,499,MPD                 ,Dhaka,mobile-site,normal,35,6/17/2019 11:59,6/17/2019 5:58,No,No,No
2545651,730297,140,MPD                 ,Bogra,android,normal,55,6/17/2019 11:57,6/17/2019 8:55,No,Yes,No
2545649,948455,849,OPS                 ,Dhaka,mobile-site,normal,35,6/17/2019 11:55,6/17/2019 8:04,No,No,No
2545645,836506,399,MPD                 ,Dhaka,android,normal,25,6/17/2019 11:48,6/17/2019 5:47,No,Yes,No
